clip_id,source,threshold,tile_size,activation_rule,halo_tiles,total_tiles,active_tiles,partial_edge_tiles,additional_closure_tiles,pairs_at_or_above_75_percent,pairs_at_or_above_90_percent,full_pressure_pairs,active_tile_ratio,frozen_candidate_ratio,halo_inflation_ratio
c01,raw,1,64,1_percent,0,21216,17316,2652,0,138,98,58,0.8161764705882353,0.18382352941176472,1.0
c01,raw,1,64,1_percent,1,21216,20311,2652,2995,185,171,142,0.9573435143288085,0.04265648567119151,1.172961422961423
c01,raw,1,64,1_percent,2,21216,20903,2652,3587,204,186,175,0.9852469834087482,0.014753016591251833,1.2071494571494572
c01,raw,1,64,5_percent,0,21216,13844,2652,0,74,54,19,0.652526395173454,0.347473604826546,1.0
c01,raw,1,64,5_percent,1,21216,18384,2652,4540,144,119,75,0.8665158371040724,0.13348416289592757,1.3279399017624964
c01,raw,1,64,5_percent,2,21216,20042,2652,6198,204,152,112,0.9446644042232277,0.05533559577677227,1.4477029760184918
c01,raw,1,64,10_percent,0,21216,11675,2652,0,54,31,4,0.5502922322775264,0.44970776772247356,1.0
c01,raw,1,64,10_percent,1,21216,16719,2652,5044,107,72,56,0.7880373303167421,0.21196266968325794,1.43203426124197
c01,raw,1,64,10_percent,2,21216,19091,2652,7416,195,112,70,0.8998397435897436,0.10016025641025639,1.635203426124197
c01,raw,2,8,any,0,1272960,539737,0,0,5,0,0,0.4240015397184515,0.5759984602815484,1.0
c01,raw,2,8,any,1,1272960,822408,0,282671,65,32,0,0.6460595776772248,0.3539404223227752,1.5237198857962304
c01,raw,2,8,any,2,1272960,963775,0,424038,110,63,2,0.7571133421317244,0.24288665786827557,1.7856381904520164
c01,raw,2,8,1_percent,0,1272960,539737,0,0,5,0,0,0.4240015397184515,0.5759984602815484,1.0
c01,raw,2,8,1_percent,1,1272960,822408,0,282671,65,32,0,0.6460595776772248,0.3539404223227752,1.5237198857962304
c01,raw,2,8,1_percent,2,1272960,963775,0,424038,110,63,2,0.7571133421317244,0.24288665786827557,1.7856381904520164
c01,raw,2,8,5_percent,0,1272960,370830,0,0,0,0,0,0.29131315987933637,0.7086868401206636,1.0
c01,raw,2,8,5_percent,1,1272960,588630,0,217800,20,2,0,0.4624104449472097,0.5375895550527903,1.5873311220775017
c01,raw,2,8,5_percent,2,1272960,702283,0,331453,54,17,0,0.551692904725993,0.44830709527400703,1.8938138769786694
c01,raw,2,8,10_percent,0,1272960,298297,0,0,0,0,0,0.23433336475615887,0.7656666352438412,1.0
c01,raw,2,8,10_percent,1,1272960,501097,0,202800,6,0,0,0.39364709024635497,0.6063529097536451,1.6798593348240176
c01,raw,2,8,10_percent,2,1272960,618796,0,320499,36,5,0,0.48610796882855706,0.513892031171443,2.0744291762907436
c01,raw,2,16,any,0,318240,179094,0,0,45,5,0,0.56276395173454,0.43723604826546003,1.0
c01,raw,2,16,any,1,318240,253779,0,74685,129,75,6,0.7974453242835596,0.20255467571644037,1.4170156454152567
c01,raw,2,16,any,2,318240,285693,0,106599,175,133,35,0.8977281297134239,0.10227187028657614,1.5952125699353412
c01,raw,2,16,1_percent,0,318240,147468,0,0,13,2,0,0.46338612368024135,0.5366138763197587,1.0
c01,raw,2,16,1_percent,1,318240,209873,0,62405,67,49,1,0.6594802664655606,0.34051973353443943,1.423176553557382
c01,raw,2,16,1_percent,2,318240,243428,0,95960,109,68,9,0.7649195575666163,0.23508044243338366,1.6507174437844143
c01,raw,2,16,5_percent,0,318240,104648,0,0,2,0,0,0.32883358471593765,0.6711664152840624,1.0
c01,raw,2,16,5_percent,1,318240,162955,0,58307,40,8,0,0.5120506535947712,0.4879493464052288,1.557172616772418
c01,raw,2,16,5_percent,2,318240,193447,0,88799,58,40,0,0.6078651332327802,0.39213486676721976,1.848549422827001
c01,raw,2,16,10_percent,0,318240,80558,0,0,0,0,0,0.25313599798893915,0.7468640020110608,1.0
c01,raw,2,16,10_percent,1,318240,136624,0,56066,9,2,0,0.4293112116641528,0.5706887883358471,1.6959706050299164
c01,raw,2,16,10_percent,2,318240,171881,0,91323,38,10,0,0.540098667672197,0.45990133232780295,2.13363042776633
c01,raw,2,32,any,0,79560,56408,0,0,88,49,3,0.7089994972347914,0.2910005027652086,1.0
c01,raw,2,32,any,1,79560,73632,0,17224,183,159,58,0.9254901960784314,0.07450980392156858,1.3053467593249184
c01,raw,2,32,any,2,79560,77691,0,21283,199,186,129,0.9765082956259427,0.023491704374057343,1.377304637640051
c01,raw,2,32,1_percent,0,79560,40046,0,0,41,5,0,0.5033433886375063,0.4966566113624937,1.0
c01,raw,2,32,1_percent,1,79560,54990,0,14944,69,61,12,0.6911764705882353,0.3088235294117647,1.3731708535184537
c01,raw,2,32,1_percent,2,79560,63357,0,23311,108,75,47,0.7963423831070889,0.20365761689291106,1.5821055785846276
c01,raw,2,32,5_percent,0,79560,28618,0,0,3,0,0,0.35970336852689794,0.640296631473102,1.0
